mention_id,settlement_id,canonical_name,matched_aliases,paragraph_id,source_line_start,source_line_end,section,section_kind,chapter_number,complete_paragraph_text,book_note_ids,book_note_texts,bibliography_keys,full_bibliography_entries
M0011,S003,Palos de la Frontera,Palos de la Frontera,L1680,1680,1680,Chapter 5: Many Seasons Ago,chapter,5,"When Christopher Columbus set sail from Palos de la Frontera in 1492, these lands were home to hundreds of thousands, perhaps even millions of inhabitants.1 They were foragers, but about as different from the Hadza, Mbuti or !Kung as one can imagine. Living in an unusually bounteous environment, often occupying villages year-round, the indigenous peoples of California, for example, were notorious for their industry and, in many cases, near-obsession with the accumulation of wealth. Archaeologists often characterize their techniques of land management as a kind of incipient agriculture; some even use Aboriginal California as a model for what the prehistoric inhabitants of the Fertile Crescent – who first began domesticating wheat and barley 10,000 years ago in the Middle East – might have been like.",ch5-n1,"Indigenous population figures are highly contested, but there is agreement that the Pacific littoral was among the most densely populated regions of aboriginal North America; see Denevan 1992; Lightfoot and Parrish 2009.",Denevan 1992,"Denevan, William M. 1992. The Native Population of the Americas in 1492. Wisconsin: University of Wisconsin Press."
M0012,S004,Sainte-Engrâce,Sainte-Engrâce,L2752,2752,2752,Chapter 8: Imaginary Cities,chapter,8,"In the commune of Sainte-Engrâce, for instance, the circular template of the village is also a dynamic model used as a counting device, to ensure the seasonal rotation of essential tasks and duties. Each Sunday, one household will bless two loaves at the local church, eat one, then present the other to its ‘first neighbour’ (the house to their right); the next week that neighbour will do the same to the next house to its right, and so on in a clockwise direction, so that in a community of 100 households it would take about two years to complete a full cycle.37",ch8-n37,Ascher 2004: 130.,Ascher 2004,"Ascher, Marcia. 2004. Mathematics Elsewhere: An Exploration of Ideas Across Cultures. Princeton, NJ: Princeton University Press."
M0013,S005,Cuzco,Cuzco,L3361,3361,3361,Chapter 10: Why the State Has No Origin,chapter,10,"More precisely, Tawantinsuyu refers to the four suyus or major administrative units of the Sapa Inca’s domain. From their capital at Cuzco, where it was said even grass was made of gold, Inca of royal blood extracted periodic mit’a – a rotating labour tribute, or corvée – from some millions of subjects distributed across the western littoral of South America, from Quito to Santiago.14 Exercising a degree of sovereignty over eighty contiguous provinces and countless ethnic groups, by the end of the fifteenth century the Inca had achieved something like the ‘universal monarchy’ (monarchia universalis) that the Habsburgs, rulers of numerous scattered territories, could only conjure in their dreams. Nevertheless, if Tawantinsuyu is to be considered a state, it was still very much a state in formation.",ch10-n14,Murra 1982.,Murra 1982,"Murra, John Victor. 1982. ‘The Mit’a obligations of ethnic groups to the Inka state.’ In G. Collier, R. Rosaldo and J. Wirth (eds), The Inca and Aztec States, 1400–1800. New York: Academic Press, pp. 237–62."
M0014,S005,Cuzco,Cuzco,L3363,3363,3363,Chapter 10: Why the State Has No Origin,chapter,10,"Just as the popular image of the Aztecs turns on mass carnage, popular images of the Inca tend to portray them as master administrators: as we’ve seen, Enlightenment thinkers like Madame de Graffigny and her readers formed their first impression of what a welfare state, or even state socialism, might be like by contemplating accounts of the empire in the Andes. In reality, Inca efficiency was decidedly uneven. The empire, after all, was over 2,500 miles long. In villages at any appreciable distance from Cuzco, Chan Chan or other centres of royal power, the imperial apparatus made, at best, a sporadic appearance and many villages remained largely self-governing. Chroniclers and officials like Juan Polo de Ondegardo y Zárate were intrigued to discover that while typical Andean villages did indeed have a complex administrative apparatus, that apparatus appeared to be entirely home-grown, based on collective associations called ayllu. In order to accommodate imperial demands for tribute or corvée labour, local communities had merely tweaked these collectives slightly.15",ch10-n15,"Ayllu, as we will discuss again later in the chapter, were land-holding groups, bound by ties of descent that cut across households. Their original function was to manage the redistribution of labour within, and sometimes between, villages, so no household was left to fend for itself. The kind of tasks usually taken on by ayllu corporations were routinely necessary, but fell beyond the capacity of a typical nuclear household: such things as clearing fields, harvesting crops, managing canals and reservoirs, porterage or fixing bridges and other buildings. Importantly, the ayllu organization also acted as a support system for families who found themselves unable to obtain the basic material requirements of lifecycle rituals – chicha for funerals, houses for newly married couples and so on. See Murra 1956; Godoy 1986; Salomon 2004.",Murra 1956 | Godoy 1986 | Salomon 2004,"Murra, John Victor. 1956. The Economic Organization of the Inca State. Chicago: Department of Anthropology. PhD dissertation, republished as The Economic Organization of the Inka State by JAI Press, Stamford, CT 1980). | Godoy, Ricardo A. 1986. ‘The fiscal role of the Andean Ayllu.’ Man (N.S.) 21 (4): 723–41. | Salomon, Frank. 2004. The Cord Keepers. Khipus and Cultural Life in a Peruvian Village. Durham, NC and London: Duke University Press."
M0015,S005,Cuzco,Cuzco,L3369,3369,3369,Chapter 10: Why the State Has No Origin,chapter,10,"The most important officials were ‘honorary Inca’ who, while not directly related to the sovereign, were allowed to wear the same ear ornaments and were otherwise seen as an extension of his personage. Statue doubles or other substitutes might also be employed – there was an elaborate ritual protocol surrounding these – but to do anything important, the Sapa Inca’s personal presence was required, meaning the court was continually on the move, with the royal person being regularly carried through the ‘four quarters’ in a litter lined with silver and feathers. This, as much as the need to carry armies and supplies, required enormous investment in road systems, converting one of the world’s most complex and rugged terrains into a continuous network of well-maintained highways and stepped paths, punctuated by shrines (huacas) and way stations, stocked and staffed from the royal coffers.17 It was on one such annual tour, far from the walls of Cuzco, that the last Sapa Inca, Atahualpa, was abducted by Pizarro’s men and subsequently killed.",ch10-n17,See Kolata 1992; 1997.,Kolata 1992,"Kolata, Alan. 1992. ‘In the realm of the Four Quarters.’ In Alvin M. Josephy (ed.), America in 1492. New York: Knopf, pp. 215–47."
M0016,S005,Cuzco,Cuzco,L3651,3651,3651,Chapter 10: Why the State Has No Origin,chapter,10,"Looking at China only seems to complicate things even further. In the time of the late Shang, from 1200 to 1000 bc, Chinese society did share certain features with the other canonical ‘early states’ but, considered as an integrated whole, it’s entirely unique. Like Inca Cuzco, the Shang capital at Anyang was designed as a ‘pivot of the four quarters’ – a cosmological anchor for the entire kingdom, laid out as a grand stage for royal ritual. Like both Cuzco and the Egyptian capital of Memphis (and later Thebes), the city was suspended between the worlds of the living and the dead, serving as home to the royal cemeteries and their attached mortuary temples, as well as a living administration. Its industrial quarters produced enormous quantities of bronze vessels and jades, the tools used in communing with ancestors.104 But in most important ways, we find little similarity between the Shang and either Old Kingdom Egypt or Inca Peru. For one thing, Shang rulers did not claim sovereignty over an extended area. They couldn’t travel safely, let alone issue commands, outside a narrow band of territories clustered on the middle and lower reaches of the Yellow River, not far from the royal court.105 Even there one is left with a sense that they didn’t really claim sovereignty in the same sense as Egyptian, Peruvian or even Mayan rulers. The clearest evidence is the exceptional importance of divination in the early Chinese state, which stands in striking contrast to pretty much all the other examples we’ve been looking at.106",ch10-n104 | ch10-n105 | ch10-n106,"See Bagley 1999. | Shaughnessy 1989. | Appeal to divination is limited in Egypt before the New Kingdom, and had an ambivalent role in Inca systems of government. As Gose (1996: 2) explains, in the Inca case oracular performances were actually at odds with the personal authority of living kings. They centred instead on the mummified bodies of royal ancestors or their statue equivalents, which provided one of the few venues for expressing subaltern (and potentially subversive) views, in a manner that did not challenge the assumption of the ruler’s absolute sovereignty and supreme authority. In a similar way, in Renaissance times, to take a king or queen’s horoscope was often considered to be an act of treason. Maya kings used bloodletting and stone-tossing as forms of divination, but they do not seem to have been of central importance to affairs of state.",Bagley 1999 | Shaughnessy 1989 | Gose 1996,"Bagley, Robert. 1999. ‘Shang archaeology.’ In Loewe and Shaughnessy (eds), pp. 124–231. | Shaughnessy, Edward. L. 1989. ‘Historical geography and the extent of the earliest Chinese kingdom.’ Asia Minor (2) 2: 1–22. | Gose, Peter. 1996. ‘Oracles, divine kingship, and political representation in the Inka State.’ Ethnohistory 43 (1): 1–32."
M0017,S006,Athens,Athens,L0923,923,923,Chapter 2: Wicked Liberty,chapter,2,"Ancient Athenian democracy, to take just one example, was based on political equality among its citizens – even if these were only somewhere between 10 and 20 per cent of the overall population – in the sense that each had the same rights to participate in public decision-making. We are taught to see this notion of equal civic participation as a milestone in political development, revived and expanded some 2,000 years later (as it happens, the political systems labelled ‘democracies’ in nineteenth-century Europe had almost nothing to do with ancient Athens, but this is not really the point). What’s more to the point is that Athenian intellectuals at the time, who were mostly of aristocratic background, tended to consider the whole arrangement a tawdry business, and most of them much preferred the government of Sparta, ruled by an even smaller percentage of the total population, who lived collectively off the labours of serfs.",,,,
M0018,S006,Athens,Athens,L1773,1773,1773,Chapter 5: Many Seasons Ago,chapter,5,"Schismogenesis, you’ll recall, describes how societies in contact with each other end up joined within a common system of differences, even as they attempt to distinguish themselves from one another. Perhaps the classic historical example (in both senses of the term ‘classic’) would be the ancient Greek city-states of Athens and Sparta, in the fifth century bc. As Marshall Sahlins puts it:",,,,
M0019,S006,Athens,Athens,L1775,1775,1775,Chapter 5: Many Seasons Ago,chapter,5,"Dynamically interconnected, they were then reciprocally constituted…Athens was to Sparta as sea to land, cosmopolitan to xenophobic, commercial to autarkic, luxurious to frugal, democratic to oligarchic, urban to villageois, autochthonous to immigrant, logomanic to laconic: one cannot finish enumerating the dichotomies…Athens and Sparta were antitypes.22",ch5-n22,Sahlins 2004: 69.,Sahlins 2004,"Sahlins, Marshall. 2004. Apologies to Thucydides. Chicago: University of Chicago Press."
M0020,S006,Athens,Athens,L1830,1830,1830,Chapter 5: Many Seasons Ago,chapter,5,"Slaves on the Northwest Coast were hewers of wood and drawers of water, but they were especially involved in the mass harvesting, cleaning and processing of salmon and other anadromous fish. There’s no consensus, however, on how far back the indigenous practice of slavery actually went there. The first European accounts of the region in the late eighteenth century speak of slaves, and express mild surprise in doing so, since full-fledged chattel slavery was quite unusual in other parts of aboriginal North America. These accounts suggest that perhaps a quarter of the indigenous Northwest Coast population lived in bondage – which is about equivalent to proportions found in the Roman Empire, or classical Athens, or indeed the cotton plantations of the American South. What’s more, slavery on the Northwest Coast was a hereditary status: if you were a slave, your children were also fated to be so.30",ch5-n30,See Donald 1997.,Donald 1997,"Donald, Leland. 1997. Aboriginal Slavery on the Northwest Coast of North America. Berkeley: University of California Press."
M0021,S006,Athens,Athens,L1950,1950,1950,Chapter 5: Many Seasons Ago,chapter,5,"To underscore the contrast, we should note that in any true Northwest Coast settlement hereditary slaves might have constituted up to a quarter of the population. These figures are striking. As we noted earlier, they rival the demographic balance in the colonial South at the height of the cotton boom and are in line with estimates for household slavery in classical Athens.60 If so, these were full-blown ‘slave societies’ where unfree labour underpinned the domestic economy and sustained the prosperity of nobles and commoners alike. Assuming that many groups came south from the Northwest Coast, as linguistic and other evidence suggests, and that at least some of this movement took place after about 1800 bc (when slavery was most likely institutionalized), the question becomes: when and how did foragers in the ‘shatter zone’ come to lose the habit of keeping slaves?",ch5-n60,MacLeod 1928; Mitchell 1985; Donald 1997.,MacLeod 1928 | Mitchell 1985 | Donald 1997,"MacLeod, William C. 1928. ‘Economic aspects of indigenous American slavery.’ American Anthropologist 30 (4): 632–50. | Mitchell, Donald. 1985. ‘A demographic profile of Northwest Coast slavery.’ In M. Thompson, M. T. Garcia and F. J. Kense (eds), Status, Structure and Stratification: Current Archaeological Reconstructions. Calgary, Alberta: Archaeological Association of the University of Calgary, pp. 227–36. | Donald, Leland. 1997. Aboriginal Slavery on the Northwest Coast of North America. Berkeley: University of California Press."
M0022,S006,Athens,Athens,L2049,2049,2049,Chapter 6: Gardens of Adonis,chapter,6,"The gardens of Adonis, to which Plato is referring here, were a sort of festive speed farming which produced no food. For the philosopher, they offered a convenient simile for all things precocious, alluring, but ultimately sterile. In the dog days of summer, when nothing can grow, the women of ancient Athens fashioned these little gardens in baskets and pots. Each held a mix of quick-sprouting grain and herbs. The makeshift seedbeds were carried up ladders on to the flat roofs of private houses and left to wilt in the sun: a botanical re-enactment of the premature death of Adonis, the fallen hunter, slain in his prime by a wild boar. Then, beyond the public gaze of men and civic authority, began the rooftop rites. Open to women from all classes of Athenian society, including prostitutes, these were rites of grieving but also wanton drunkenness, and no doubt other forms of ecstatic behaviour as well.",,,,
M0023,S006,Athens,Athens,L2716,2716,2716,Chapter 8: Imaginary Cities,chapter,8,"The mega-sites of Ukraine and adjoining regions were inhabited from roughly 4100 to 3300 bc, that is, for something in the order of eight centuries, which is considerably longer than most subsequent urban traditions. Why were they there at all? Like the cities of Mesopotamia and the Indus valley, they appear to have been born of ecological opportunism in the middle phase of the Holocene. Not floodplain dynamics, in this case, but processes of soil formation on the flatlands north of the Black Sea. These black earths (Russian: chernozem) are legendary for their fertility; for the empires of later antiquity, they made the lands between the Southern Bug and Dniepr Rivers a breadbasket (which is why Greek city-states established colonies in the region and enslaved or made serfs of the local populations to begin with: ancient Athens was largely fed by Black Sea grain).",,,,
M0024,S006,Athens,Athens,L2823,2823,2823,Chapter 8: Imaginary Cities,chapter,8,"Neighbourhood wards (Akkadian: bābtum, after the word for ‘gate’) were active in local administration, and sometimes appear to have replicated certain aspects of village or tribal governance in an urban setting.56 Murder trials, divorce and property disputes seem to have been mostly in the hands of town councils. Texts found at Nippur give unusual details about the composition of one such assembly, summoned to act as a jury for a homicide case. Among those sitting we find one bird catcher, one potter, two gardeners and a soldier in the service of a temple. The Trinidadian intellectual C. L. R. James once said of fifth-century Athens that ‘every cook can govern’. In Mesopotamia, or at least in many parts of it, it seems this was literally true: being a manual labourer did not exclude one from direct participation in law and politics.57",ch8-n56 | ch8-n57,"One such ‘urban village’, as Nicholas Postgate (1992: 81–2) terms it, is documented in a tablet recovered from the city of Eshnunna in the Diyala valley, which lists Amorites ‘living in the city’ according to their wards, designated by the names of male family heads and their sons. | See e.g. Van de Mieroop 1999, especially p. 123.",Postgate 1992 | Mieroop 1999,"Postgate, Nicholas. 1992. Early Mesopotamia: Society and Economy at the Dawn of History. London: Routledge. | Mieroop, Marc Van De. 1999. ‘The government of an ancient Mesopotamian city: what we know and why we know so little.’ In K. Watanabe (ed.), Priests and Officials in the Ancient Near East. Heidelberg: Universitätsverlag C. Winter, pp. 139–61."
M0025,S006,Athens,Athens,L2846,2846,2846,Chapter 8: Imaginary Cities,chapter,8,"To draw an obvious parallel: the Athenian agora in the time of Pericles (the fifth century bc) was also full of public temples, but the actual democratic assemblies took place in an open space called the Pnyx, a low hill equipped with seating for the Council of Five Hundred citizens, appointed – by sortition, with rotating membership – to run the everyday affairs of the city (all other citizens were expected to stand). Meetings at the Pnyx could involve anywhere between 6,000 and 12,000 people, groups comprising free adult males drawn from perhaps 20 per cent of the city’s total population. The Great Court at Uruk is considerably larger, and while we have little idea what the total population of Uruk was in, say, 3500 bc, it’s hard to imagine it was anywhere near that of classical Athens. This suggests a wider range of participation, which would make sense if women were not entirely excluded and if early Uruk did not, like later Athens, define some 30 per cent of its population as resident aliens with no voting rights, and up to 40 per cent as slaves.",,,,
M0026,S006,Athens,Athens,L2850,2850,2850,Chapter 8: Imaginary Cities,chapter,8,"Once again, while evidence of democratic self-governance is always a bit ambiguous (would anyone guess what was really going on in fifth-century Athens, from archaeological evidence alone?), evidence for royal rule, when it appears, is entirely unmistakable.",,,,
M0027,S006,Athens,Athens,L3176,3176,3176,Chapter 9: Hiding in Plain Sight,chapter,9,"Politically, the Aztec capital of Tenochtitlan and the city-state of Tlaxcala embodied opposite ideals (no less than, say, ancient Sparta and Athens). Still, little of this history is known, because the story we’ve become used to telling about the conquest of the Americas is an entirely different one. The fall of Tenochtitlan in 1521 is often used to illustrate what some feel to be deeper, underlying currents of change in human societies: the forces that give history its overall shape and direction. Starting with Alfred Crosby and Jared Diamond,47 writers in this vein have repeatedly pointed out that the conquistadors had something akin to manifest destiny on their side. Not the divinely ordained sort of destiny they envisaged for themselves, but rather the unstoppable force of an invisible army of Neolithic Old World microbes, marching alongside the Spaniards, carrying waves of smallpox to decimate indigenous populations, and a Bronze Age legacy of metal weapons, guns and horses to shock and awe the helpless natives.",,,,
