reference_id,bibliography_key,full_bibliography_entry,linked_book_note_ids
R027,Blau 1963,"Blau, Harold. 1963. ‘Dream guessing: a comparative analysis.’ Ethnohistory 10: 233–49.",ch11-n73 | ch11-n74
R028,Bogaard 2014,"Bogaard, Amy et al. 2014. ‘Locating land use at Neolithic Çatalhöyük, Turkey: the implications of 87SR/86SR signatures in plants and sheep tooth sequences.’ Archaeometry 56 (5): 860–77.",ch6-n19
R029,Brown 1990,"Brown, James A. 1990. ‘Archaeology confronts history at the Natchez temple.’ Southwestern Archaeology 9 (1): 1–10.",ch10-n68 | ch10-n69
R030,Buikstra 2004,"Buikstra, Jane E. et al. 2004. ‘Tombs from the Copan Acropolis: a life history approach.’ In E. E. Bell et al. (eds.), pp. 185–205.",ch9-n17 | ch9-n18
R031,Burger 2011,"Burger, Richard. L. 2011. ‘What kind of hallucinogenic snuff was used at Chavín de Huántar? An iconographic identification.’ Journal of Andean Archaeology 31 (2): 123–40.",ch10-n53
R032,Butters 2005,"Castillo Butters, Luis Jaime. 2005. ‘Las Señoras de San José de Moro: Rituales funerarios de mujeres de élite en la costa norte del Perú.’ In Divina y humana. La mujer en los antiguos Perú y México. Lima: Ministerio de Educación, pp. 18–29.",ch10-n47 | ch10-n48 | ch10-n49 | ch10-n50
R033,Byers 2006,"Byers, A. Martin. 2006. Cahokia: A World Renewal Cult Heterarchy. Gainsville: University Press of Florida.",ch11-n34
R034,Campbell 2009,"Campbell, Roderick. 2009. ‘Towards a networks and boundaries approach to early complex polities: the Late Shang Case.’ Current Anthropology 50 (6): 821–48.",ch10-n73 | ch10-n74
R035,Campbell 2014,"Campbell, Roderick. 2014. ‘Transformations of violence: on humanity and inhumanity in early China.’ In Campbell (ed.), pp. 94–118.",ch10-n73 | ch10-n74
R036,Cannadine 2001,"Cannadine, David. 2001. Ornamentalism: How the British Saw their Empire. London: Penguin.",ch8-n43 | ch8-n44
R037,Canuto 2018,"Canuto, Marcello et al. 2018. ‘Ancient lowland Maya complexity as revealed by airborne laser scanning of northern Guatemala.’ Science 361 (6409): eaau0137.",ch10-n24 | ch10-n25
R038,Carballo 2019,"Carballo, David M. et al. 2019. ‘New research at Teotihuacan’s Tlajinga district, 2012–2015.’ Ancient Mesoamerica 30: 95–113.",ch9-n23 | ch9-n30 | ch9-n31
R039,Carr 2005,"Carr, Christopher. 2005. ‘The tripartite ceremonial alliance among Scioto Hopewellian communities and the question of social ranking.’ In Case and Carr (eds), pp. 258–338.",ch11-n20 | ch11-n21
R040,Chapman 2010,"Chapman, John. 2010. ‘Houses, households, villages, and proto-cities in Southeastern Europe.’ In Anthony (ed.), pp. 74–89.",ch8-n32
R041,Clendinnen 1991,"Clendinnen, Inga. 1991. Aztecs: An Interpretation. Cambridge: Cambridge University Press.",ch10-n11 | ch10-n44 | ch10-n45
R042,Cook 2017,"Cook, Robert A. 2017. Continuity and Change in the Native American Village: Multicultural Origins and Descendants of the Fort Ancient Culture. Cambridge: Cambridge University Press.",ch11-n61
R043,Coon 2009,"Coon, Matthew S. 2009. ‘Variation in Ohio Hopewell political economies.’ American Antiquity 74 (1): 49–76.",ch11-n23 | ch11-n24
R044,Cortés 1928,"Cortés, Hernando. 1928. Five Letters, 1519–1526. London: Routledge.",ch9-n45
R045,Cowgill 1997,"Cowgill, George L. 1997. ‘State and society at Teotihuacan, Mexico.’ Annual Review of Anthropology 26: 129–61.",ch9-n13 | ch9-n28
R046,Cowgill 2015,"Cowgill, George L. 2015. Ancient Teotihuacan. Early Urbanism in Central Mexico. Cambridge: Cambridge University Press.",ch9-n29
R047,Crazzolara 1951,"Crazzolara, Joseph Pasquale. 1951. The Lwoo, Part II: Lwoo Traditions. Verona: Missioni Africane.",ch10-n64
R048,Crema 2013,"Crema, Enrico R. 2013. ‘Cycles of change in Jomon settlement: a case study from eastern Tokyo Bay.’ Antiquity 87 (338): 1169–81.",ch4-n33
R049,Croucher 2012,"Croucher, Karina. 2012. Death and Dying in the Neolithic Near East. Oxford: Oxford University Press.",ch6-n63
R050,Davis 1995,"Davis, E. N. 1995. ‘Art and politics in the Aegean: the missing ruler.’ In Paul Rehak (ed.), The Role of the Ruler in the Prehistoric Aegean (Aegaeum 11). Liège: University of Liège, pp. 11–20.",ch10-n142 | ch10-n144
R051,DeBoer 1993,"DeBoer, Warren R. 1993. ‘Like a rolling stone: the Chunkey game and political organization in Eastern North America.’ Southeastern Archaeology 12: 83–92.",ch11-n32 | ch11-n33
R052,DeBoer 1997,"DeBoer, Warren R. 1997. ‘Ceremonial centers from the Cayapas to Chillicothe.’ Cambridge Archaeological Journal 7: 225–53.",ch11-n23 | ch11-n24
R053,Deino 2018,"Deino, Alan L. et al. 2018. ‘Chronology of the Acheulean to Middle Stone transition in eastern Africa.’ Science 360 (6384): 95–8.",ch3-n13 | ch3-n15
R054,Denevan 1992,"Denevan, William M. 1992. The Native Population of the Americas in 1492. Wisconsin: University of Wisconsin Press.",ch5-n1
R055,Denham 2003,"Denham, Timothy et al. 2003. ‘Origins of agriculture at Kuk Swamp in the highlands of New Guinea.’ Science 301 (5630): 189–93.",ch7-n32 | ch7-n33
R056,Dickson 2006,"Dickson, D. Bruce. 2006. ‘Public transcripts expressed in theatres of cruelty: the Royal Graves at Ur in Mesopotamia.’ Cambridge Archaeological Journal 16 (2): 123–44.",ch10-n70 | ch10-n71
R057,Dietrich 2012,"Dietrich, Olivier, Manfred Heun, Jens Notroff and Klaus Schmidt. 2012. ‘The role of cult and feasting in the emergence of Neolithic communities. New evidence from Göbekli Tepe, south-eastern Turkey.’ Antiquity 86 (333): 674–95.",ch3-n39
R058,Dietrich 2019,"Dietrich, Laura et al. 2019. ‘Cereal processing at Early Neolithic Göbekli Tepe, southeastern Turkey.’ PLoS ONE 14 (5): e0215214.",ch3-n27 | ch3-n39 | ch6-n55 | ch6-n56 | ch6-n57
R059,Domenici 2018,"Domenici, Davide. 2018. ‘Beyond dichotomies: Teotihuacan and the Mesoamerican urban tradition.’ In D. Domenici and N. Marchetti, Urbanized Landscapes in Early Syro-Mesopotamia and Prehispanic Mesoamerica. Wiesbaden: Harrassowitz Verlag, pp. 35–70.",ch9-n37 | ch9-n38 | ch9-n39 | ch9-n41 | ch9-n7 | ch9-n8
R060,Donald 1997,"Donald, Leland. 1997. Aboriginal Slavery on the Northwest Coast of North America. Berkeley: University of California Press.",ch5-n30 | ch5-n60
R061,Ellingson 2001,"Ellingson, Ter. 2001. The Myth of the Noble Savage. Berkeley: University of California Press.",ch2-n27 | ch2-n28
R062,Emerson 1997a,"Emerson, Thomas. 1997a. Cahokia and the Archaeology of Power. Tuscaloosa: University of Alabama Press.",ch11-n34 | ch11-n35 | ch11-n36 | ch11-n37
R063,Emerson 2007,"Emerson, Thomas. 2007. ‘Cahokia and the evidence for Late Pre-Columbian war in the North American midcontinent.’ In R. J. Chacon and R. G. Mendoza (eds), North American Indigenous Warfare and Ritual Violence. Tucson: University of Arizona Press, pp. 129–48.",ch11-n42
R064,Emerson 2016,"Emerson, Thomas et al. 2016. ‘Paradigms lost: reconfiguring Cahokia’s Mound 72 Beaded Burial.’ American Antiquity 81 (3): 405–25.",ch11-n41
R065,Emerson 2018,"Emerson, Thomas E., Brad H. Koldeho and Tamira K. Brennan (eds). 2018. Revealing Greater Cahokia, North America’s First Native City: Rediscovery and Large-Scale Excavations of the East St. Louis Precinct. Studies in Archaeology 12. Urbana: Illinois State Archaeological Survey, University of Illinois.",ch11-n35 | ch11-n36 | ch11-n37
R066,Engelbrecht 2003,"Engelbrecht, William. 2003. Iroquoia: The Development of a Native World. Syracuse, NY: Syracuse University Press.",ch11-n76
R067,Englund 1998,"Englund, Robert K. 1998. ‘Texts from the Late Uruk period.’ In J. Bauer, R. K. Englund and M. Krebernik (eds), Mesopotamien. Späturuk-Zeit und Frühdynastische Zeit. Göttingen: Vandenhoeck and Ruprecht.",ch8-n65
R068,Englund 2009,"Englund, Robert K. 2009. ‘The smell of the cage.’ Cuneiform Digital Library 4.",ch8-n70
R069,Erdal 2015,"Erdal, Yilmaz. 2015. ‘Bone or flesh: defleshing and post-depositional treatments at Körtik Tepe (Southeastern Anatolia, PPNA Period).’ European Journal of Archaeology 18 (1): 4–32.",ch6-n55 | ch6-n56 | ch6-n57
R070,Fairbairn 2006,"Fairbairn, Andrew et al. 2006. ‘Seasonality (Çatalhöyük East).’ In Ian Hodder (ed.), Çatalhöyük Perspectives: Themes from the 1995–9 Seasons. Cambridge: McDonald Institute Monographs, British Institute of Archaeology at Ankara, pp. 93–108.",ch6-n17
R071,Fargher 2010,"Fargher, Lane, Richard E. Blanton and Verenice Y. Heredia Espinoza. 2010. ‘Egalitarian ideology and political power in prehispanic Central Mexico: the case of Tlaxcalan.’ Latin American Antiquity 21 (3): 227–51.",ch9-n48
R072,Fargher 2011,"Fargher, Lane, Verenice Y. Heredia Espinoza and Richard E. Blanton. 2011. ‘Alternative pathways to power in late Postclassic Highland Mesoamerica.’ Journal of Anthropological Archaeology 30: 306–26.",ch9-n66
R073,Fogelson 1984,"Fogelson, Raymond D. 1984. ‘Who were the Aní-Kutánî? An excursion into Cherokee historical thought.’ Ethnohistory 31 (4): 255–63.",ch11-n56
R074,Formicola 2007,"Formicola, Vincenzo. 2007. ‘From the Sungir children to the Romito dwarf: aspects of the Upper Palaeolithic funerary landscape.’ Current Anthropology 48: 446–53.",ch3-n36
R075,Fowler 1997,"Fowler, Melvin. L. 1997. The Cahokia Atlas: A Historical Atlas of Cahokia Archaeology. Urbana: University of Illinois Press.",ch11-n34
R076,Fowler 1999,"Fowler, Melvin L. et al. 1999. The Mound 72 Area: Dedicated and Sacred Space in Early Cahokia. Reports of Investigation no. 54. Springfield: Illinois State Museum.",ch11-n38 | ch11-n40
R077,Frangipane 2006,"Frangipane, Marcella. 2006. ‘The Arslantepe “Royal Tomb”: new funerary customs and political changes in the Upper Euphrates valley at the beginning of the third millennium bc.’ In G. Bartoloni and M. G. Benedettini (eds), Buried Among the Living. Rome: Università degli studi di Roma ‘La Sapienza’, pp. 169–94.",ch8-n79
R078,Frangipane 2012,"Frangipane, Marcella. 2012. ‘Fourth millennium Arslantepe: the development of a centralized society without urbanization.’ Origini 34: 19–40.",ch8-n77
R079,Frankfort 1948,"Frankfort, Henri. 1948. Kingship and the Gods: A Study of Ancient Near Eastern Religion as the Integration of Society and Nature. Chicago: Chicago University Press.",ch9-n11
R080,Friedman 2008,"Friedman, Renée F. 2008. ‘Excavating Egypt’s early kings: recent discoveries in the elite cemetery at Hierakonpolis.’ In B. Midant-Reynes and Y. Tristant (eds), Egypt at its Origins 2. Proceedings of the International Conference Origin of the State. Predynastic and Early Dynastic Egypt, Toulouse, 5th–8th September 2005. Orientalia Lovaniensia Analecta 172. Leuven: Peeters, pp. 1157–94.",ch10-n86
R081,Froese 2014,"Froese, Tom, Carlos Gershenson and Linda R. Manzanilla. 2014. ‘Can government be self-organized? A mathematical model of the collective social organization of ancient Teotihuacan, Central Mexico.’ PLoS ONE 9 (10): e109966.",ch9-n30 | ch9-n31 | ch9-n37 | ch9-n38 | ch9-n39
R082,García 2014,"Moreno García, Juan Carlos. 2014. ‘Recent developments in the social and economic history of Ancient Egypt.’ Journal of Ancient Near Eastern History 1 (2): 231–61.",ch10-n113
R083,Gell 1993,"Gell, Alfred. 1993. Wrapping in Images: Tattooing in Polynesia. Oxford: Clarendon Press.",ch7-n34
R084,Gibson 1952,"Gibson, Charles. 1952. Tlaxcala in the Sixteenth Century. New Haven, CT and London: Yale University Press.",ch9-n63
R085,Gibson 2000,"Gibson, Jon L. 2000. Ancient Mounds of Poverty Point: Place of Rings. Gainesville: University Press of Florida.",ch4-n27
R086,Giosan 2012,"Giosan, Liviu et al. 2012. ‘Fluvial landscapes of the Harappan civilization.’ PNAS: E1688–E1694.",ch8-n83 | ch8-n84
R087,Godoy 1986,"Godoy, Ricardo A. 1986. ‘The fiscal role of the Andean Ayllu.’ Man (N.S.) 21 (4): 723–41.",ch10-n15
R088,Goldstein 2003,"Goldstein, Paul S. 2003. ‘From stew-eaters to maize-drinkers: the Chicha economy and Tiwanaku.’ In Tamara L. Bray (ed.), The Archaeology and Politics of Food and Feasting in Early States and Empires. New York: Plenum, pp. 143–71.",ch10-n89
R089,González 2014,"González González, Enrique. 2014. ‘A humanist in the New World: Francisco Cervantes de Salazar (c.1514–75).’ In L. Dietz et al. (eds), Neo-Latin and the Humanities: Essays in Honour of Charles E. Fantazzi. Toronto: Center for Reformation and Renaissance Studies, pp. 235–57.",ch9-n49
R090,Gose 1996,"Gose, Peter. 1996. ‘Oracles, divine kingship, and political representation in the Inka State.’ Ethnohistory 43 (1): 1–32.",ch10-n104 | ch10-n105 | ch10-n106
R091,Graeber 2001,"Graeber, David. 2001. Toward an Anthropological Theory of Value: The False Coin of Our Own Dreams. New York: Palgrave.",ch11-n73 | ch11-n74
R092,Graeber 2007a,"Graeber, David. 2007a. Possibilities: Essays on Hierarchy, Rebellion, and Desire. Oakland, CA: AK Press.",ch8-n46
R093,Graeber 2011,"Graeber, David. 2011. Debt: The First 5,000 Years. New York: Melville House.",ch10-n131 | ch2-n51 | ch2-n52 | ch8-n48
R094,Green 2020,"Green, Adam S. 2020. ‘Killing the priest-king: addressing egalitarianism in the Indus civilization.’ Journal of Archaeological Research. https://doi.org/10.1007/s10814-020-09147-9",ch8-n83 | ch8-n84
R095,Gresky 2017,"Gresky, Julia, Juliane Haelm and Lee Clare. 2017. ‘Modified human crania from Göbekli Tepe provide evidence for a new form of Neolithic skull cult.’ Science Advances 3: e1700564.",ch6-n61
R096,Haak 2015,"Haak, Wolfgang et al. 2015. ‘Massive migration from the steppe was a source for Indo-European languages in Europe.’ Nature 522: 207–11.",ch7-n35 | ch7-n36
R097,Habu 2004,"Habu, Junko. 2004. Ancient Jomon of Japan. Cambridge: Cambridge University Press.",ch4-n33
R098,Hall 1997,"Hall, Robert L. 1997. An Archaeology of the Soul: North American Indian Belief and Ritual. Chicago: University of Illinois Press.",ch11-n61
R099,Hassig 2001,"Hassig, Ross. 2001. ‘Xicotencatl: rethinking an indigenous Mexican hero.’ Estudios de cultura náhuatl 32: 29–49.",ch9-n54 | ch9-n56
R100,He 2018,"He, Nu. 2018. ‘Taosi: an archaeological example of urbanization as a political center in prehistoric China.’ Archaeological Research in Asia 14: 20–32.",ch8-n113
R101,Headrick 2007,"Headrick, Annabeth. 2007. The Teotihuacan Trinity: The Sociopolitical Structure of an Ancient Mesoamerican City. Austin: University of Texas Press.",ch9-n7 | ch9-n8
R102,Henige 1999,"Henige, David. 1999. ‘Can a myth be astronomically dated?’ American Indian Culture and Research Journal 23 (4): 127–57.",ch11-n75
R103,Hodder 2003,"Hodder, Ian. 2003. ‘The lady and the seed: some thoughts on the role of agriculture in the Neolithic Revolution.’ In Mehmet Özdoğan, Harald Hauptmann and Nezih Başgelen (eds), From Villages to Cities: Early Villages in the Near East – Studies Presented to Ufuk Esin. Istanbul: Arkeoloji ve Sanat Yayinlari, pp. 155–61.",ch6-n11
R104,Hodder 2006,"Hodder, Ian. 2006. Çatalhöyük. The Leopard’s Tale. Revealing the Mysteries of Turkey’s Ancient ‘Town’. London: Thames and Hudson.",ch6-n13 | ch6-n5 | ch6-n6
R105,Holt 2009,"Holt, Julie Zimmerman. 2009. ‘Rethinking the Ramey state: was Cahokia the center of a theater state?’ American Antiquity 74 (2): 231–54.",ch11-n45
R106,Hudson 2018,"Hudson, Michael. 2018. And Forgive Them Their Debts: Lending, Foreclosure, and Redemption from Bronze Age Finance to the Jubilee Year. Dresden: ISLET-Verlag.",ch10-n131 | ch8-n48
R107,Iakovleva 2015,"Iakovleva, Lioudmila. 2015. ‘The architecture of mammoth bone circular dwellings of the Upper Palaeolithic settlements in Central and Eastern Europe and their socio-symbolic meanings.’ Quaternary International 359–60: 324–34.",ch3-n28
R108,Isaac 1983,"Isaac, Barry. L. 1983. ‘The Aztec “Flowery War”: a geopolitical explanation.’ Journal of Anthropological Research 39 (4): 415–32.",ch9-n46
R109,Isbell 2008,"Isbell, William H. 2008. ‘Wari and Tiwanaku: international identities in the Central Andean Middle Horizon.’ In H. Silverman and W. H. Isbell (eds), The Handbook of South American Archaeology. New York: Springer, pp. 731–59.",ch10-n47 | ch10-n48 | ch10-n49 | ch10-n50
R110,Jacobs 1995,"Jacobs, Ken. 1995. ‘Returning to Oleni’ ostrov: social, economic, and skeletal dimensions of a Boreal Forest Mesolithic cemetery.’ Journal of Anthropological Archaeology 14 (4): 359–403.",ch4-n34
R111,Jansen 1993,"Jansen, Michael. 1993. ‘Mohenjo-daro, type site of the earliest urbanization process in South Asia; ten years of research at Mohenjo-daro Pakistan and an attempt at a synopsis.’ In A. Parpola and P. Koskikallio (eds), South Asian Archaeology. Helsinki: Suomalainen Tiedeakatemia, pp. 263–80.",ch8-n88
R112,Karahashi 2016,"Karahashi, Fumi. 2016. ‘Women and land in the Presargonic Lagaš Corpus.’ In B. Lyon and C. Michel (eds), The Role of Women in Work and Society in the Ancient Near East. Boston and Berlin: De Gruyter, pp. 57–70.",ch8-n49
R113,Kehoe 2007,"Kehoe, Alice Beck. 2007. ‘Osage texts and Cahokia data.’ In F. Kent Reilly III and James F. Garber (eds), Ancient Objects and Sacred Realms: Interpretations of Mississippian Iconography. Austin: University of Texas Press, pp. 246–62.",ch11-n61
R114,Kelly 2008,"Kelly, John E. 2008. ‘Contemplating Cahokia’s collapse.’ In Jim A. Railey and Richard Martin Reycraft (eds), Global Perspectives on the Collapse of Complex Systems. Anthropological Papers no. 8. Albuquerque: Maxwell Museum of Anthropology.",ch11-n43
R115,Kemp 2006,"Kemp, Barry. 2006. Ancient Egypt: Anatomy of a Civilization (2nd edn). London: Routledge.",ch10-n85
R116,Kenoyer 1998,"Kenoyer, J. M. 1998. Ancient Cities of the Indus Valley. Karachi: Oxford University Press.",ch8-n85
R117,King 2003,"King, Adam. 2003. Etowah: The Political History of a Chiefdom Capital. Tuscaloosa: University of Alabama Press.",ch11-n49 | ch11-n50
R118,Kirch 1990,"Kirch, Patrick V. 1990. ‘Specialization and exchange in the Lapita Complex of Oceania (1600–500 B.C.).’ Asian Perspectives 29 (2): 117–33.",ch7-n34
R119,Knight 1986,"Knight, Vernon J. Jr. 1986. ‘The institutional organization of Mississippian religion.’ American Antiquity 51: 675–87.",ch11-n41
R120,Knight 2001,"Knight, Vernon J. Jr. 2001. ‘Feasting and the emergence of platform mound ceremonialism in Eastern North America.’ In Michael Dietler and Brian Hayden (eds), Feasts: Archaeological and Ethnographic Perspectives on Food, Politics and Power. Washington: Smithsonian Institution Press, pp. 311–33.",ch11-n14
R121,Kobayashi 2004,"Kobayashi, Tatsuo. 2004. Jomon Reflections: Forager Life and Culture in the Prehistoric Japanese Archipelago. Oxford: Oxbow.",ch4-n33
R122,Kolata 1992,"Kolata, Alan. 1992. ‘In the realm of the Four Quarters.’ In Alvin M. Josephy (ed.), America in 1492. New York: Knopf, pp. 215–47.",ch10-n17
R123,Kononenko 2016,"Kononenko, Nina et al. 2016. ‘Detecting early tattooing in the Pacific region through experimental usewear and residue analyses of obsidian tools.’ Journal of Archaeological Science, Reports 8: 147–63.",ch7-n34
R124,Kowaleski 2003,"Kowaleski, Jeff. 2003. ‘Evidence for the functions and meanings of some northern Maya palaces.’ In J. J. Christie (ed.), Maya Palaces and Elite Residences. Austin: University of Texas Press, pp. 204–52.",ch10-n27 | ch10-n28 | ch10-n29
R125,Kuijt 1996,"Kuijt, Ian. 1996. ‘Negotiating equality through ritual: a consideration of Late Natufian and Prepottery Neolithic A period mortuary practices.’ Journal of Anthropological Archaeology 15: 313–36.",ch6-n63
R126,Lang 2013,"Lang, Caroline et al. 2013. ‘Gazelle behaviour and human presence at early Neolithic Göbekli Tepe, south-east Anatolia.’ World Archaeology 45: 410–29.",ch3-n39
R127,Larsson 1990,"Larsson, Lars. 1990. ‘The Mesolithic of southern Scandinavia.’ Journal of World Prehistory 4 (3): 257–309.",ch4-n48
R128,Lattimore 1962,"Lattimore, Owen. 1962. Studies in Frontier History. Collected Papers 1929– 58. London: Oxford University Press.",ch10-n110
R129,Lehner 2015,"Lehner, Mark. 2015. ‘Labor and the pyramids. The Heit el-Ghurab “workers town” at Giza.’ In Steinkeller and Hudson (eds), pp. 397–522.",ch10-n92 | ch10-n93 | ch10-n94
R130,Lincoln 1994,"Lincoln, Charles K. 1994. ‘Structural and philological evidence for divine kingship at Chichén Itzá, Yucatan, México.’ In Hanns J. Prem (ed.), Hidden Among the Hills. Acta Mesoamericana, vol. 7. Möckmühl: Verlag von Flemming, pp. 164–96.",ch10-n27 | ch10-n28 | ch10-n29
R131,Liverani 1998,"Liverani, Mario (ed. and transl. Z. Bahrani and M. Van De Mieroop). 1998. Uruk. The First City. Sheffield: Equinox.",ch8-n70
R132,Lockhart 1985,"Lockhart, James. 1985. ‘Some Nahua concepts in postconquest guise.’ History of European Ideas 6 (4): 465–82.",ch9-n48 | ch9-n58
R133,Lorenz 1997,"Lorenz, Karl G. 1997. ‘A re-examination of Natchez sociopolitical complexity: a view from the grand village and beyond.’ Southeastern Archaeology 16 (2): 97–112.",ch10-n59
R134,Lowie 1928,"Lowie, Robert H. 1928. ‘Incorporeal property in primitive society.’ Yale Law Journal 37 (5): 551–63.",ch4-n28
R135,Lévi-Strauss 1987,"Lévi-Strauss, Claude. 1987. Anthropology and Myth: Lectures 1951–1982. Oxford: Blackwell.",ch10-n1
R136,MacLeod 1928,"MacLeod, William C. 1928. ‘Economic aspects of indigenous American slavery.’ American Anthropologist 30 (4): 632–50.",ch5-n60
R137,Madgwick 2019,"Madgwick, Richard et al. 2019. ‘Multi-isotope analysis reveals that feasts in the Stonehenge environs and across Wessex drew people and animals from throughout Britain.’ Science Advances 5 (3): eaau6078.",ch3-n42
R138,Mann 2000,"Mann, Barbara Alice. 2000. Iroquoian Women: The Gantowisas. New York: Peter Lang.",ch11-n76
R139,Mann 2005,"Mann, Charles C. 2005. 1491: The Americas before Columbus. London: Granta.",ch9-n43
R140,Manzanilla 1993,"Manzanilla, Linda R. 1993. ‘Daily life in Teotihuacan apartment compounds.’ In Berrin and Pasztory (eds), pp. 90–99.",ch9-n34 | ch9-n35
R141,Manzanilla 2015,"Manzanilla, Linda R. 2015. ‘Cooperation and tensions in multi-ethnic corporate societies using Teotihuacan, Central Mexico, as a case study.’ Proceedings of the National Academy of Sciences 112 (30): 9210–15.",ch9-n7 | ch9-n8
R142,Manzanilla 2017,"Manzanilla, Linda R. 2017. ‘Discussion: the subsistence of the Teotihuacan metropolis.’ Archaeological and Anthropological Sciences 9: 133–40.",ch9-n22 | ch9-n24
